2017-01-16 11:53:43.742 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 259 ] - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-01-16 11:53:43.820 [ main ] - [ INFO  ] [o.s.t.c.support.DefaultTestContextBootstrapper : 185 ] - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@31b4f6aa, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5fae2c64, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@23e48a4f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71345af1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@243ebe47, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@133e39e8]
2017-01-16 11:53:43.997 [ main ] - [ INFO  ] [o.s.beans.factory.xml.XmlBeanDefinitionReader : 317 ] - Loading XML bean definitions from file [D:\github\member-account\zplatform-acc-server\target\test-classes\spring\spring-context.xml]
2017-01-16 11:53:44.366 [ main ] - [ INFO  ] [o.s.beans.factory.xml.XmlBeanDefinitionReader : 317 ] - Loading XML bean definitions from class path resource [spring-dubbo-consumer.xml]
2017-01-16 11:53:44.481 [ main ] - [ INFO  ] [o.s.context.support.GenericApplicationContext : 573 ] - Refreshing org.springframework.context.support.GenericApplicationContext@72f08d6f: startup date [Mon Jan 16 11:53:44 CST 2017]; root of context hierarchy
2017-01-16 11:53:44.585 [ main ] - [ INFO  ] [o.s.b.factory.config.PropertyPlaceholderConfigurer : 172 ] - Loading properties file from file [D:\github\member-account\zplatform-acc-server\target\test-classes\acc-config.properties]
2017-01-16 11:53:44.586 [ main ] - [ INFO  ] [o.s.b.factory.config.PropertyPlaceholderConfigurer : 172 ] - Loading properties file from file [D:\github\member-account\zplatform-acc-server\target\test-classes\dubbo.properties]
2017-01-16 11:53:44.587 [ main ] - [ INFO  ] [o.s.b.factory.config.PropertyPlaceholderConfigurer : 172 ] - Loading properties file from file [D:\github\member-account\zplatform-acc-server\target\test-classes\job-setting.properties]
2017-01-16 11:53:45.171 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2017-01-16 11:53:45.171 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:host.name=guojia-PC
2017-01-16 11:53:45.172 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.version=1.7.0_80
2017-01-16 11:53:45.172 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.vendor=Oracle Corporation
2017-01-16 11:53:45.172 [ main ] - [ INFO  ] [org.apache.zookeeper.ZooKeeper : 100 ] - Client environment:java.home=C:\Program Files\Java\jdk1.7.0_80\jre
